groups,Ex,Ey,Px,Py,Z,XLimit,YLimit,XGrid,YGrid,ProbX,enableDefault,showDefault,rounds,x_over_y_threshold,plotResult,referencePeriod,pause
"[[1,2][3,4]]","[100,0]","[0,100]","[8,100]","[100,8]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE
"[[1,2][3,4]]","[100,0]","[0,100]","[16,100]","[100,16]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE
"[[1,2][3,4]]","[100,0]","[0,100]","[24,100]","[100,24]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE
"[[1,2][3,4]]","[100,0]","[0,100]","[32,100]","[100,32]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE
"[[1,2][3,4]]","[100,0]","[0,100]","[40,100]","[100,40]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE
"[[1,2][3,4]]","[100,0]","[0,100]","[48,100]","[100,48]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE
"[[1,2][3,4]]","[100,0]","[0,100]","[56,100]","[100,56]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE
"[[1,2][3,4]]","[100,0]","[0,100]","[64,100]","[100,64]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE
"[[1,2][3,4]]","[100,0]","[0,100]","[72,100]","[100,72]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE
"[[1,2][3,4]]","[100,0]","[0,100]","[79,100]","[100,79]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE
"[[1,2][3,4]]","[100,0]","[0,100]","[86,100]","[100,86]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE
"[[1,2][3,4]]","[100,0]","[0,100]","[93,100]","[100,93]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE
"[[1,2][3,4]]","[100,0]","[0,100]","[100,100]","[100,100]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE
"[[1,2][3,4]]","[100,0]","[0,100]","[100,93]","[93,100]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE
"[[1,2][3,4]]","[100,0]","[0,100]","[100,86]","[86,100]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE
"[[1,2][3,4]]","[100,0]","[0,100]","[100,79]","[79,100]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE
"[[1,2][3,4]]","[100,0]","[0,100]","[100,72]","[72,100]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE
"[[1,2][3,4]]","[100,0]","[0,100]","[100,64]","[64,100]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE
"[[1,2][3,4]]","[100,0]","[0,100]","[100,56]","[56,100]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE
"[[1,2][3,4]]","[100,0]","[0,100]","[100,48]","[48,100]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE
"[[1,2][3,4]]","[100,0]","[0,100]","[100,40]","[40,100]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE
"[[1,2][3,4]]","[100,0]","[0,100]","[100,32]","[32,100]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE
"[[1,2][3,4]]","[100,0]","[0,100]","[100,24]","[24,100]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE
"[[1,2][3,4]]","[100,0]","[0,100]","[100,16]","[16,100]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE
"[[1,2][3,4]]","[100,0]","[0,100]","[100,8]","[8,100]",0.1,100,100,0,0,0.5,TRUE,TRUE,1,0.05,TRUE,,FALSE

